ca_pcgr,ca_ipm,ca_macc,ca_psm,ca_eo,ca_rh,ca_rmi,ca_re,ca_cim,ca_psncc,ca_pa,ca_arat,ca_ipda,ca_mp,ca_ipgm,ca_pe,id
0.6,0.0,0.0,0.15,0.6666667,0.75,0.3333333,0.2,0.0,0.0,1.0,0.5,0.3333333,0.0,,0.576335,122
0.0,0.25,0.25,0.29375,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.0,1.0,0.6666667,0.0,,0.794889,123
0.4,0.25,0.25,0.4125,0.6666667,0.75,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.637833,124
0.0,0.125,0.0,0.36875,0.3333333,0.5,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.6,,,125
0.0,0.375,0.0,0.3,0.6666667,0.25,0.5,0.2,0.0,1.0,0.0,1.0,0.6666667,0.0,,0.753397,126
0.0,0.25,0.0,0.384375,0.3333333,0.5,0.5,0.2,0.0,0.0,0.0,1.0,0.6666667,0.0,1.0,0.712867,127
0.0,0.0,0.0,0.49125,0.6666667,0.5,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.669384,128
0.8,0.5,0.0,0.371875,0.6666667,0.25,0.5,0.2,0.0,1.0,0.0,1.0,0.3333333,0.2,0.3350515,0.612194,129
0.0,0.0,0.0,0.0625,0.3333333,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,130
0.4,0.25,0.0,0.2375,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.0,1.0,0.3333333,0.2,0.2,0.762335,131
0.8,0.375,0.5,0.18,0.3333333,0.0,0.3333333,0.2,0.0,1.0,0.0,1.0,0.3333333,0.0,0.5,0.677464,132
0.4,0.5,0.25,0.3625,0.3333333,0.25,0.3333333,0.2,0.0,1.0,1.0,1.0,1.0,0.6,1.0,0.677228,133
0.6,0.25,0.5,0.2875,0.0,0.5,0.1666667,0.2,0.0,1.0,0.0,1.0,0.3333333,0.0,,0.740922,134
0.8,0.5,0.5,0.265625,0.3333333,0.25,0.5,0.2,0.0,1.0,0.0,1.0,1.0,0.0,,0.645245,135
0.0,0.0,0.75,0.225,0.0,0.0,0.5,0.2,0.0,0.0,0.0,1.0,0.6666667,0.8,,0.654527,136
0.6,0.125,0.75,0.125,0.3333333,0.0,0.5,0.2,0.0,1.0,0.5,1.0,1.0,0.4,0.29,,137
