antiguedad,elevacion,escasez,falla_in,Falta_in,falta_dren,health,ingreso,ponding,CM,PRECIP,id,dens_pop
64,0.0,0.0625,0.543,0.0439,0.018,0.3375,0.89985,2.005,0.004212,796,162,0.0915
64,0.1,0.0625,0.539,0.0309,0.074,0.10375,0.89594,3.3825,0.0,849,163,0.15188
33,0.1,0.0625,0.268,0.0056,0.018,0.025,0.83508,5.7975,0.0,859,164,0.00712
64,0.1,0.0625,0.54,0.0083,0.018,0.0725,0.90361,3.06375,0.0,845,165,0.08761
64,0.0,0.0625,0.54,0.0029,0.079,0.11375,0.89465,3.7625,0.0,825,166,0.0709
64,0.0,0.0625,0.541,0.0052,0.018,0.10125,0.92329,4.9575,0.000809,816,167,0.08938
64,0.0,0.0625,0.545,0.0142,0.074,0.15,0.94005,5.54125,0.007894,803,168,0.09226
33,0.2,0.0625,0.269,0.0104,1.0,2.48625,0.71052,8.54625,0.0,907,169,0.23559
64,0.1,0.0625,0.539,0.0013,0.018,0.13625,0.88678,4.1325,0.0,844,170,0.08894
64,0.0,0.0625,0.54,0.0008,0.018,0.03625,0.94864,8.68375,0.0,830,171,0.06022
64,0.0,0.0625,0.54,0.0368,0.074,0.07125,0.90465,7.665,0.0,829,172,0.04265
33,0.0,0.0625,0.27,0.0143,0.074,0.12375,0.92646,1.36125,0.000446,816,173,0.0541
18,0.3,0.0625,0.133,0.0313,0.018,0.265,0.9095,0.5875,0.0,956,174,0.05933
18,0.2,0.0625,0.133,0.0401,0.074,1.14,0.91112,0.6575,0.0,921,175,0.08288
64,0.1,0.0625,0.539,0.033,0.018,0.5,0.84134,1.43625,0.0,877,176,0.16205
64,0.1,0.0625,0.54,0.0442,0.018,0.1225,0.84945,9.11625,0.0,863,177,0.10264
64,0.1,0.0625,0.54,0.0048,0.074,0.25,0.82065,6.08375,0.0,838,178,0.11055
64,0.0,0.0625,0.539,0.0583,0.074,0.02,0.84765,6.65625,0.0,825,179,0.01252
64,0.1,0.0625,0.541,0.0046,0.074,0.12,0.86592,4.64375,0.001199,875,180,0.09047
64,0.1,0.0625,0.539,0.0045,0.018,0.19875,0.7781,5.61625,0.0,854,181,0.23704
64,0.1,0.0625,0.538,0.0327,0.074,0.295,0.84129,10.2975,0.0,854,182,0.14127
64,0.1,0.0625,0.54,0.055,0.074,0.33625,0.8767,2.8625,2.8e-05,838,183,0.13091
64,0.1,1.0,0.538,0.0154,0.074,0.12375,0.88816,43.705,0.0,864,184,0.03832
64,0.1,0.0625,0.539,0.0161,1.0,0.11375,0.91922,37.03625,0.0,851,185,0.03987
64,0.1,0.0625,0.537,0.0316,0.074,0.09,0.87881,40.67875,0.0,884,186,0.03393
64,0.1,0.0625,0.538,0.0224,1.0,0.115,0.89478,43.42,0.0,863,187,0.04142
64,0.1,0.0625,0.536,0.0554,0.074,0.0725,0.91639,39.75875,0.0,883,188,0.02986
14,0.3,0.0625,0.065,0.0327,0.076,1.31375,0.70472,0.49125,0.0,976,189,0.07474
18,0.5,0.0625,0.133,0.0189,1.0,1.30875,0.67377,0.97125,0.0,1004,190,0.2165
9,0.6,0.0625,0.033,0.0022,1.0,0.7175,0.67326,0.74875,0.0,1036,191,0.15249
18,0.5,0.0625,0.137,0.0145,1.0,0.95375,0.67834,1.28875,0.003431,995,192,0.36373
18,0.3,1.0,0.133,0.0146,0.018,0.095,0.91838,1.58625,0.0,942,193,0.01004
33,0.1,0.0625,0.268,0.0219,0.018,0.53625,0.75067,0.3075,0.0,838,194,0.46253
64,0.1,0.0625,0.534,0.0036,1.0,0.56625,0.64976,1.68125,0.0,845,195,0.80444
18,0.1,0.0625,0.133,0.0193,0.074,0.1875,0.60207,0.8675,0.0,866,196,0.52835
18,0.2,0.0625,0.131,0.015,0.018,0.32125,0.66079,1.6975,0.0,919,197,0.12791
18,0.1,0.0625,0.131,0.0224,0.018,0.3725,0.63105,0.7825,0.0,874,198,0.45737
18,0.1,1.0,0.133,0.0035,0.074,0.39375,0.71107,0.215,0.0,852,199,0.3402
18,0.1,0.0625,0.132,0.0059,0.018,0.285,0.67352,2.1675,0.0,843,200,0.47389
18,0.3,0.0625,0.133,0.0096,0.074,0.12125,0.8457,2.62875,0.0,946,201,0.02717
18,0.2,0.0625,0.134,0.0139,0.018,0.7,0.69848,0.755,0.0,880,202,0.35763
18,0.2,0.0625,0.134,0.0284,0.074,0.22875,0.64979,4.0725,0.0,890,203,0.42112
33,0.1,0.0625,0.268,0.0148,0.018,0.99125,0.69811,4.685,0.0,875,204,0.28449
18,0.2,0.0625,0.133,0.0239,0.018,0.635,0.6745,4.21875,0.0,910,205,0.20559
18,0.2,1.0,0.134,0.0112,0.076,0.47125,0.73488,0.62375,0.0,905,206,0.2777
18,0.2,0.0625,0.134,0.011,0.018,0.44125,0.69415,0.68375,0.0,920,207,0.31609
18,0.2,0.0625,0.134,0.0083,0.075,0.32125,0.6947,2.06875,0.0,910,208,0.58531
18,0.2,0.0625,0.135,0.0124,0.018,0.3025,0.71178,1.185,0.001283,904,209,0.52936
14,0.3,0.0625,0.065,0.1931,0.018,0.22375,0.72962,0.6125,0.0,923,210,0.19234
18,0.4,0.0625,0.134,0.1138,1.0,1.2925,0.71098,0.66875,0.0,980,211,0.1868
18,0.3,1.0,0.133,0.7564,1.0,0.77375,0.79035,0.77,0.0,954,212,0.12267
14,0.2,0.0625,0.067,0.019,0.018,1.04625,0.76325,0.6125,0.000363,930,213,0.06148
18,0.4,0.0625,0.135,0.0104,1.0,1.165,0.6212,3.22,0.00106,980,214,0.41562
9,0.6,0.0625,0.031,0.0067,1.0,0.50625,0.6635,0.335,0.0,1044,215,0.0332
18,0.5,0.0625,0.135,0.0128,1.0,1.45375,0.63999,4.0175,0.0,1000,216,0.18199
18,0.5,1.0,0.135,0.0123,1.0,1.405,0.60792,7.48375,0.001367,1006,217,0.31137
9,0.6,1.0,0.033,0.0127,1.0,0.4625,0.6249,6.45875,0.0,1025,218,0.09006
9,0.3,1.0,0.033,0.0115,0.078,1.38625,0.71985,1.69125,0.0,998,219,0.051
33,0.1,1.0,0.27,0.0124,0.018,1.41125,0.7145,7.01375,0.000586,813,220,0.22486
33,0.1,0.0625,0.27,0.3479,0.074,1.30375,0.68302,1.57625,0.000976,819,221,0.27758
33,0.1,1.0,0.267,0.008,0.018,0.28,0.68652,2.2775,0.0,833,222,0.4231
33,0.1,1.0,0.269,0.8177,0.074,0.3475,0.70216,3.145,0.0,824,223,0.28496
33,0.2,0.0625,0.269,0.0456,0.074,0.3025,0.7036,3.345,0.0,891,224,0.28413
33,0.2,0.0625,0.268,0.0343,1.0,2.0625,0.70779,3.56375,0.0,893,225,0.40596
33,0.1,0.0625,0.268,0.0685,1.0,0.285,0.6893,3.20375,0.0,879,226,0.29728
33,0.2,0.0625,0.268,0.0369,0.018,1.665,0.77136,0.31625,0.0,915,227,0.14721
18,0.2,0.0625,0.134,0.0263,0.018,0.65375,0.8863,0.62625,0.0,903,228,0.11021
14,0.3,0.0625,0.065,0.07,0.018,0.50375,0.95262,0.52375,0.0,940,229,0.10773
18,0.1,0.0625,0.131,0.0361,0.018,0.3475,0.77902,0.59375,0.0,866,230,0.47021
18,0.1,0.0625,0.132,0.0809,0.074,0.23875,0.87079,2.6725,0.0,861,231,0.51302
18,0.1,0.0625,0.132,0.0309,0.074,0.2725,0.6231,4.54,0.0,870,232,0.43617
18,0.2,0.0625,0.133,0.0226,0.074,0.545,0.77397,0.00375,0.0,876,233,0.33199
18,0.1,0.0625,0.132,0.0471,0.018,0.52125,0.59634,0.87875,0.0,859,234,0.4544
18,0.1,0.0625,0.133,0.0445,0.074,0.37875,0.7851,0.00125,0.0,867,235,0.29788
18,0.1,0.0625,0.134,0.7396,1.0,0.4825,0.74591,1.87375,0.0,861,236,0.37857
33,0.1,0.0625,0.269,0.7073,0.074,0.45625,0.631,2.45625,0.0,857,237,0.72937
33,0.1,0.0625,0.269,0.0519,0.074,0.3675,0.66892,2.44,0.0,845,238,0.59216
18,0.3,0.0625,0.128,0.0332,0.0,0.0,0.2971,1.55625,0.0,952,239,0.0
